COMPANY,EXP,Industry ,JOB,Location.1,Min Salary,Max Salary,Salary.1
CÔNG TY TNHH DU LỊCH UY TÍN VIỆT,1 năm,"Du lịch,Khách sạn",Inbound Tour Operator/ Nhân Viên Điều Hành Tour Du Lịch,Hà Nội,12,0,12
CÔNG TY TNHH DU LỊCH VICTORIA,0,"Du lịch,Khách sạn",Điều Hành Tour Du Lịch Tiếng Anh/ Tiếng Trung - Không Yêu Cầu Kinh Nghiệm [Hà Nội & Đà Nẵng],"Hà Nội, Đà Nẵng",15,0,15
"Công Ty TNHH Du Lịch, Dịch Vụ Và Thương Mại Núi San Hô",1 năm,"Chăm sóc khách hàng,Vận hành",Chăm Sóc Khách Hàng Biết Tiếng Anh - Thu Nhập Đến 30 Triệu,Kiên Giang,10,30,10-30
CÔNG TY TNHH ĐỨC TẤN SÀI GÒN,0,"Điện,Điện tử viễn thông",Nhân Viên Cơ Điện,Hà Nội,12,15,12-15
CÔNG TY TNHH DƯỢC HUNMED,2 năm,Công nghệ thông tin,Nhân Viên Thiết Kế Designer - Tại Hà Nội - Thu Nhập 13 - 15 Triệu (Ưu Tiên Nam),Hà Nội,13,15,13-15
Công Ty TNHH Dược Phẩm Bình Đông,1 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp Có Kinh Nghiệm Thu Nhập Đến 12 Triệu (Quận 8 - TP.Hồ Chí Minh),Hồ Chí Minh,7,12,7-12
Công ty TNHH Dược phẩm E&S Việt Nam,5+ năm,Luật,Nhân Viên Pháp Chế Doanh Nghiệp,Hà Nội,0,0,0
CÔNG TY TNHH DƯỢC PHẨM KATINAT,3 năm,"Kế toán,Kiểm toán,Thuế",Nhân Viên Kế Toán Nội Bộ,Hồ Chí Minh,9,10,9-10
Công ty TNHH Dược phẩm Mạnh Anh,3 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp- Lương Hấp Dẫn Upto 18 Triệu,Hưng Yên,16,18,16-18
CÔNG TY TNHH DƯỢC PHẨM NGUYÊN ANH KHOA,2 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp - 2 Năm Kinh Nghiệm Tại Quận 8,Hồ Chí Minh,0,0,0
CÔNG TY TNHH DVTM HT EXPRESS,1 năm,"Bán lẻ,Dịch vụ đời sống","Nữ Phó Nhóm Kinh Doanh, 1 Năm Kinh Nghiệm Tại Hà Nội",Hà Nội,15,20,15-20
CÔNG TY TNHH DVTM HT EXPRESS,1 năm,"Kinh doanh,Bán hàng","Nữ Phó Nhóm Kinh Doanh, 1 Năm Kinh Nghiệm Tại Hà Nội",Hà Nội,15,20,15-20
CÔNG TY TNHH DYM VIỆT NAM,0,Biên phiên dịch,Nhân Viên Vận Hành Tài Khoản Tuyển Dụng (Biết Tiếng Nhật - Không Yêu Cầu Kinh Nghiệm),Hồ Chí Minh,11,0,11
CÔNG TY TNHH EAMGROUP,0-1 năm,"Điện,Điện tử viễn thông",Nhân Viên Kỹ Thuật Điện - Điện Lạnh,Hồ Chí Minh,8,20,8-20
CÔNG TY TNHH ELECO VIỆT NAM,3 năm,"Điện,Điện tử viễn thông",Chuyên Viên Kỹ Thuật Điện Công Nghiệp - Thu Nhập Hấp Dẫn - Làm Việc Tại Quận 4 Hồ Chí Minh,Hồ Chí Minh,0,0,0
CÔNG TY TNHH EMERS VIETNAM,1 năm,"Bán lẻ,Dịch vụ đời sống","NV Bán Hàng Thời Trang Thể Thao Q1 (Diamond, Takashimaya-Lương Từ 6.5 Tr)",Hồ Chí Minh,0,0,0
CÔNG TY TNHH ENRICH MANAGEMENT SYSTEM,2 năm,"Chăm sóc khách hàng,Vận hành","Customer Service (Ca Đêm) - Từ 2 Năm Kinh Nghiệm, Tiếng Anh Thành Thạo",Hồ Chí Minh,12500000,0,12500000
CÔNG TY TNHH ESTRON VIỆT NAM,2 năm,"BĐS,Xây dựng",Nhân Viên Kỹ Thuật Bảo Trì/ ME Technician (KCN TÂN BÌNH),Hồ Chí Minh,0,0,0
CÔNG TY TNHH ESTRON VIỆT NAM,2 năm,"Điện,Điện tử viễn thông",Nhân Viên Kỹ Thuật Bảo Trì/ ME Technician (KCN TÂN BÌNH),Hồ Chí Minh,0,0,0
CÔNG TY TNHH ETU MOBILE,1 năm,Công nghệ thông tin,Nhân Viên Thiết Kế UI/UX Designer Có Kinh Nghiệm (Thu Nhập Lên Tới 16 Triệu/ Tháng),Hà Nội,8,16,8-16
CÔNG TY TNHH EVER TECH PLASTIC VIỆT NAM,0,"Kế toán,Kiểm toán,Thuế",Nhân Viên Văn Phòng (Thu Nhập Đến 12 Triệu) - Tại Bình Dương,Bình Dương,9,12,9-12
CÔNG TY TNHH FLE VIỆT NAM,0-1 năm,"Kế toán,Kiểm toán,Thuế","Kế Toán Kho, Dưới 1 Năm Kinh Nghiệm, Nhận Việc Ngay, Bình Chánh - HCM",Hồ Chí Minh,0,0,0
CÔNG TY TNHH FOTOBER MEDIA,1 năm,"Marketing,PR,QC",Video Editor - Đi Làm Ngay - Thu Nhập Upto 40tr - Chế Độ Đãi Ngộ Hấp Dẫn - Tại Hà Nội,Hà Nội,20,40,20-40
CÔNG TY TNHH FUTUREZONE VIỆT NAM,0,"Kinh doanh,Bán hàng","Chuyên Viên Booking Và Quản Lý Influencer/KOLs Tiktok Mỹ (Lương Cứng 8 - 9 Triệu, Thu Nhập Upto 15 T...",Hà Nội,10,15,10-15
Công ty TNHH Gameloft,1 năm,Công nghệ thông tin,Game Data Analyst,Hồ Chí Minh,0,0,0
Công ty TNHH Gameloft,1 năm,"Marketing,PR,QC",Game Data Analyst,Hồ Chí Minh,0,0,0
Công ty TNHH GE Vernova Hải Phòng,3 năm,"BĐS,Xây dựng",HSE Specialist/ EHS Specialist/ Chuyên Viên An Toàn (Health - Safety - Environment),Hải Phòng,0,0,0
CÔNG TY TNHH GEARMENT,1 năm,"Chăm sóc khách hàng,Vận hành",Junior Customer Support (Night Shift),Hồ Chí Minh,9,0,9
Công ty TNHH Gia Công Răng ACESO,0,Biên phiên dịch,Biên Phiên Dịch Tiếng Trung,Đồng Nai,0,0,0
CÔNG TY TNHH GIA THÙY,2 năm,"Điện,Điện tử viễn thông",Kỹ Sư Điện,"Hồ Chí Minh, Bà Rịa-Vũng Tàu",12,20,12-20
CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ SỐ VN,0-1 năm,Công nghệ thông tin,Nhân Viên Kinh Doanh Thu Nhập Lên Đến 35 Triệu,Hồ Chí Minh,10,33,10-33
CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,5 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Trưởng,Hồ Chí Minh,18,20,18-20
CÔNG TY TNHH GIẢI PHÁP PHẦN CỨNG,2 năm,Công nghệ thông tin,Nhân Viên Thiết Kế Designer - Làm Việc Tại Hà Nội,Hà Nội,8,15,8-15
CÔNG TY TNHH GIẢI PHÁP PHẦN CỨNG,2 năm,"Marketing,PR,QC",Nhân Viên Thiết Kế Designer - Làm Việc Tại Hà Nội,Hà Nội,8,15,8-15
CÔNG TY TNHH GIẢI PHÁP SỐ KEY,0-1 năm,"Giáo dục,Đào tạo",Giáo Viên Khoa Học Xã Hội THCS-THPT,Hà Nội,0,0,0
Công Ty TNHH Giải Trí KL-Commerce,1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Vận Hành Sàn Thương Mại Điện Tử (Nữ ),Hồ Chí Minh,10,15,10-15
Công Ty TNHH Giải Trí KL-Commerce,1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Vận Hành Sàn Thương Mại Điện Tử (Nữ),Hồ Chí Minh,12,15,12-15
Công ty TNHH Giải Trí và Truyền Thông Matrix Media,2 năm,"Marketing,PR,QC",Editor Video Youtube + Facebook - Thu Nhập Upto 17 Triệu / Tháng,Hà Nội,9,17,9-17
Công ty TNHH Giáo dục & Đào Tạo Quốc tế Thần Đồng,0-1 năm,"Giáo dục,Đào tạo",Giáo Viên Chủ Nhiệm Tiếng Anh (Chỉ Tuyển Nữ),Đà Nẵng,7.5,15,7.5-15
CÔNG TY TNHH GIÁO DỤC HÁN NGỮ HẠ LONG,1 năm,"Giáo dục,Đào tạo",Giáo Viên Tiếng Trung Offline,Quảng Ninh,0,0,0
CÔNG TY TNHH GIÁO DỤC ISPACE (ISPACE ENGLISH),0,"Giáo dục,Đào tạo","Nhân Viên Tư Vấn Tuyển Sinh/Sale Khóa Học Tiếng Anh (Nữ, Tại Hà Nội) Thu Nhập Từ 10 - 20 Triệu/Tháng",Hà Nội,10,20,10-20
CÔNG TY TNHH GIÁO DỤC UNICLASS,0-1 năm,"Giáo dục,Đào tạo",Nhân Viên Kinh Doanh / Telesale/ Tư Vấn Tuyển Sinh - (Data Sẵn 100% - Thử Việc 100% Lương),Hà Nội,11,23,11-23
CÔNG TY TNHH GIÁO DỤC VÀ ĐÀO TẠO UCA,2 năm,"Giáo dục,Đào tạo",English Teacher / Giáo Viên Tiếng Anh Full-Time,Hồ Chí Minh,0,0,0
CÔNG TY TNHH GIÁO DỤC VÀ PHÁT TRIỂN MỘC PHI,0-1 năm,"Giáo dục,Đào tạo",Giáo Viên Tiếng Anh,Hồ Chí Minh,1.4,1.7,1.4-1.7
CÔNG TY TNHH GIÁO DỤC VDN,0,"Giáo dục,Đào tạo",Chuyên Viên Tư Vấn Tuyển Sinh/ Kinh Doanh / Consultant/ Sales - Thu Nhập Lên Đến 25M - VDN Hải Phòng,Hải Phòng,25,0,25
CÔNG TY TNHH GIÁO DỤC VDN,0,"Kinh doanh,Bán hàng",Chuyên Viên Tư Vấn Tuyển Sinh/ Kinh Doanh / Consultant/ Sales - Thu Nhập Lên Đến 25M - VDN Hải Phòng,Hải Phòng,25,0,25
CÔNG TY TNHH GIAO NHẬN THƯƠNG MẠI RỒNG Á CHÂU,5 năm,,Trưởng Phòng Chứng Từ Xuất Nhập Khẩu - Thu Nhập Cao - Làm Việc Tại Bình Dương,Bình Dương,0,0,0
CÔNG TY TNHH GIÀY ROVIET,0-1 năm,"Điện,Điện tử viễn thông","Nhân Viên Bảo Trì, Sửa Chữa",Long An,0,0,0
CÔNG TY TNHH GIT ACADEMY VIỆT NAM,1 năm,"Giáo dục,Đào tạo",Nhân Viên Tư Vấn Tuyển Sinh (Tư Vấn Giáo Dục),Hà Nội,0,0,0
CÔNG TY TNHH GLOBAL CITIZEN ENGLISH,2 năm,"Giáo dục,Đào tạo","Giáo Viên IELTS, Tiếng Anh Cambridge",Bình Dương,10,20,10-20
CÔNG TY TNHH GLODIVAL,0-1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Chăm Sóc Khách Hàng (Giao Tiếp Tốt Tiếng Anh),Hồ Chí Minh,7,0,7
CÔNG TY TNHH GLODIVAL,1 năm,"Chăm sóc khách hàng,Vận hành",Operation Officer,Hồ Chí Minh,12,15,12-15
CÔNG TY TNHH GLOVIMEX,1 năm,,Quản Lý Đơn Hàng Thủ Công Mỹ Nghệ Xuất Khẩu - Thu Nhập Đến 20 Triệu,Hà Nội,10,20,10-20
CÔNG TY TNHH GREENVIBE,1 năm,"Marketing,PR,QC",Content Marketing Tại Ecopark (Hưng Yên) - Yêu Cầu Tiếng Anh,"Hưng Yên, Hà Nội",10,15,10-15
CÔNG TY TNHH GU CÔNG NGHỆ,1 năm,"Marketing,PR,QC",Nhân Viên Content Creator (Thu Nhập 8 - 12 Triệu) Đi Làm Ngay Tại Hà Nội,Hà Nội,8,12,8-12
CÔNG TY TNHH HÀ THÀNH GLOBAL,1 năm,Biên phiên dịch,Nhân Viên Đối Ngoại Tiếng Nhật,Hà Nội,12,15,12-15
Công ty TNHH Hải quan Shinhan Việt Nam,2 năm,,Chuyên Viên Báo Cáo Quyết Toán - Từ 2 Năm Kinh Nghiệm - Thu Nhập Từ 15 Triệu - Chỉ Nhận CV Tiếng Anh,Hà Nội,15,0,15
CÔNG TY TNHH HALOVN - CHI NHÁNH HÀ NỘI,0-1 năm,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Kinh Doanh/Tư Vấn Resale Sữa,Hà Nội,8,15,8-15
CÔNG TY TNHH HÃNG KIỂM TOÁN AASC,1 năm,"BĐS,Xây dựng",Kiểm Toán Quyết Toán Vốn Đầu Tư Xây Dựng,Hà Nội,0,0,0
Công ty TNHH Hankol Healthcare Vina,2 năm,,Nhân Viên Chứng Từ Xuất Nhập Khẩu (Tiếng Anh Tốt),Hồ Chí Minh,12,17,12-17
Công ty TNHH Hanyang Digitech Vina,3 năm,Công nghệ thông tin,Nhân Viên IT,Phú Thọ,0,0,0
CÔNG TY TNHH HD PRO VIETNAM,1 năm,"Kế toán,Kiểm toán,Thuế",Nhân Viên Kế Toán Kiêm Admin Xuất Nhập Khẩu (Tiếng Anh) - Quận 4,Hồ Chí Minh,12,15,12-15
Công ty TNHH HDSOFT,1 năm,Công nghệ thông tin,"Trưởng Phòng Kinh Doanh [Cầu Giấy - Hà Nội] - Lương Cơ Bản Upto 30Tr+++, Tối Thiểu 1 Năm Kinh Nghiệm",Hà Nội,0,0,0
Công ty TNHH Hichiko,1 năm,"Marketing,PR,QC","Nhân Viên Chạy Ads Và Care Sàn Thương Mại Điện Tử (Google Ads, Facebok Ads, Tik Tok) Lương Cứng Từ 1...",Hà Nội,12,0,12
CÔNG TY TNHH HIRAIWA VIỆT NAM,3 năm,"BĐS,Xây dựng",Giám Sát Công Trình Biết Triếng Trung Lương Từ 25 Triệu Tại Hồ Chí Minh,Hồ Chí Minh,25,28,25-28
CÔNG TY TNHH HIRAIWA VIỆT NAM,5 năm,"BĐS,Xây dựng",Chỉ Huy Trưởng Công Trình Lương 23 - 25 Triệu Tại Hồ Chí Minh,Hồ Chí Minh,23,25,23-25
CÔNG TY TNHH HITMAKERS MUSIC,1 năm,Công nghệ thông tin,"Video Editor Youtube (Yêu Cầu Biết Làm Animation), Lương Cứng 11 - 15 Triệu (Khu Đô Thị Vinhomes Tim...",Hà Nội,11,15,11-15
CÔNG TY TNHH HITMAKERS MUSIC,1 năm,"Marketing,PR,QC","Video Editor Youtube (Yêu Cầu Biết Làm Animation), Lương Cứng 11 - 15 Triệu (Khu Đô Thị Vinhomes Tim...",Hà Nội,11,15,11-15
Công ty TNHH Hivelab Vina,1 năm,Công nghệ thông tin,Front-End Developer,Hà Nội,0,0,0
CÔNG TY TNHH HÓA DƯỢC SHIZENCOS,3 năm,"Kinh doanh,Bán hàng",Phó Phòng Kinh Doanh Thu Nhập Theo Nằng Lực Tại Hồ Chí Minh,Hồ Chí Minh,0,0,0
CÔNG TY TNHH HÓA MỸ PHẨM MCS,4 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp - Tại Hải Phòng - Mức Lương 14 Triệu/Tháng,Hải Phòng,10,14,10-14
CÔNG TY TNHH HỌC VIỆN DOANH NHÂN VÂN NGUYÊN EDUBIZ,2 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Chăm Sóc Khách Hàng/ Customer Service - 2 Năm Kinh Nghiệm - Thu Nhập Từ 10 - 20 Triệu Tại...,Hà Nội,10,20,10-20
CÔNG TY TNHH HOME PROXY,0,"Marketing,PR,QC",Thực Tập Sinh Marketing,Hồ Chí Minh,5,0,5
CÔNG TY TNHH HƯNG KHANG LAND,0,"BĐS,Xây dựng",Nhân Viên Văn Phòng / Nhân Viên Kinh Doanh / Tư Vấn_Không Yêu Cầu Kinh Nghiệm (Quận Tân Bình + Lương...,Hồ Chí Minh,8.5,70,8.5-70
CÔNG TY TNHH HƯƠNG GIA INTERNATIONAL,2 năm,Biên phiên dịch,Nhân Viên Phiên Dịch Tiếng Trung - Thu Nhập Từ 15 - 25 Triệu - Quận 12,Hồ Chí Minh,15,25,15-25
CÔNG TY TNHH HƯƠNG VIỆT 1936,2 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp Nội Bộ,Hồ Chí Minh,12,15,12-15
Công ty TNHH HVNet,1 năm,"Marketing,PR,QC",Nhân Viên Chạy Ads (Kinh Nghiệm Từ 1 Năm) - Thu Nhập Từ 10 - 30 Triệu/Tháng - Bình Thạnh,Hồ Chí Minh,10,30,10-30
CÔNG TY TNHH ID DISTRIBUTION & INVESTMENT,0,"Bán lẻ,Dịch vụ đời sống","Nhân Viên Tư Vấn - Bán Hàng TTTM Tại Quận 7 Và Thủ Đức, TP. HCM - Thu Nhập Hấp Dẫn, Không Y/C KN (Đồ...",Hồ Chí Minh,8.5,13,8.5-13
CÔNG TY TNHH IT-COMMUNICATIONS VIỆT NAM,0-1 năm,"Chăm sóc khách hàng,Vận hành","Tổng Đài Viên Tư Vấn Tại Bình Thạnh (Thu Nhập Từ 9 Đến 20 Triệu - Có Sẵn Data, Thiết Bị)",Hồ Chí Minh,9,20,9-20
Công ty TNHH J.G,3 năm,"BĐS,Xây dựng","Chuyên Viên QS Hạ Tầng & Cảnh Quan – Ưu Tiên Biết Dự Toán, Đấu Thầu – Đi Làm Ngay",Hồ Chí Minh,0,0,0
CÔNG TY TNHH JAN'SLENMEN,1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Chăm Sóc Khách Hàng - Kho Vận,Hà Nội,7,10,7-10
CÔNG TY TNHH JOB HOUSE,2 năm,Biên phiên dịch,Nhân Viên Tiếng Nhật - Thu Nhập Hấp Dẫn,Hà Nội,20000000,0,20000000
CÔNG TY TNHH JOY TRAVEL,1 năm,"Du lịch,Khách sạn",Nhân Viên Kinh Doanh,Hà Nội,9,20,9-20
CÔNG TY TNHH KA HONG (VIETNAM),3 năm,,Nhân Viên Xuất Nhập Khẩu - Tiếng Trung - Thu Nhập Từ 18 Triệu / Tháng,Bình Dương,18,0,18
CÔNG TY TNHH KAMAX VIỆT NAM,2 năm,"Bán lẻ,Dịch vụ đời sống",Quản Lý Kinh Doanh Vùng Sơn Kamax (Đã Có Kinh Nghiệm),Ninh Bình,10,50,10-50
CÔNG TY TNHH KAMEREO,1 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Công Nợ Phải Thu / Receivable Accountant,Hồ Chí Minh,10,12,10-12
CÔNG TY TNHH KẾ TOÁN THUẾ TAXKEY,2 năm,"Kế toán,Kiểm toán,Thuế",Chuyên Viên Kế Toán Thuế - Ưu Tiên Có Kinh Nghiệm Làm Công Ty Dịch Vụ Kế Toán - Thu Nhập Hấp Dẫn Từ...,Hà Nội,8,14,8-14
CÔNG TY TNHH KẾ TOÁN VÀ TƯ VẤN VHA,2 năm,"Kế toán,Kiểm toán,Thuế","Nhân Viên Kế Toán Dịch Vụ, Thu Nhập Từ 12 Triệu, Đi Làm Ngay",Hồ Chí Minh,12,0,12
CÔNG TY TNHH KHANG GIA BÌNH,0-1 năm,"BĐS,Xây dựng","Nhân Viên Kinh Doanh - Tư Vấn BĐS / Lương Cứng Cố Định 12 Triệu / Phường Thạnh Mỹ Lợi, Thủ Đức, HCM",Hồ Chí Minh,20,60,20-60
CÔNG TY TNHH KHANG GIA BÌNH,0-1 năm,"Kinh doanh,Bán hàng","Nhân Viên Kinh Doanh - Tư Vấn BĐS / Lương Cứng Cố Định 12 Triệu / Phường Thạnh Mỹ Lợi, Thủ Đức, HCM",Hồ Chí Minh,20,60,20-60
CÔNG TY TNHH KHANG HƯNG REALTY,0-1 năm,"BĐS,Xây dựng","Nhân Viên Kinh Doanh/Tư Vấn/Sales Bất Động Sản - Thu Nhập Không Giới Hạn, Lương Cơ Bản Từ 7,5 - 10,3...",Hồ Chí Minh,100,0,100
CÔNG TY TNHH KHÈ GROUP,4 năm,Luật,Chuyên Viên Pháp Lý - F&B,Hồ Chí Minh,18,20,18-20
CÔNG TY TNHH KHOA HỌC KỸ THUẬT KINGTEC (VIỆT NAM),5 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Trưởng Tiếng Trung,Long An,0,0,0
CÔNG TY TNHH KHÓA HUY HOÀNG,0,"Chăm sóc khách hàng,Vận hành",Nam Nhân Viên Phát Triển Thị Trường/ CSKH (Thu Nhập Upto 15 Triệu) - Tại Toàn Quốc - Đi Làm Ngay,Hà Nội,13.2,15,13.2-15
CÔNG TY TNHH KIỂM TOÁN CPA VIETNAM,3 năm,"Kế toán,Kiểm toán,Thuế",Nhân Viên Kế Toán Tổng Hợp,Hà Nội,0,0,0
CÔNG TY TNHH KIỂM TOÁN CPA VIETNAM,5+ năm,"Du lịch,Khách sạn",Phó Giám Đốc Điều Hành,Hà Nội,0,0,0
CÔNG TY TNHH KIẾN TRÚC ARTZEN,2 năm,"BĐS,Xây dựng",Quản Lý Thi Công Xây Dựng / Giám Sát Công Trình _ Thu Nhập Upto 18tr _ Hải Phòng,Hải Phòng,12,18,12-18
CÔNG TY TNHH KIM HÀ VIỆT.,2 năm,Biên phiên dịch,Nhân Viên Phiên Dịch Tiếng Anh - Có Thể Đi Công Tác,Kon Tum,8,12,8-12
CÔNG TY TNHH KIM KOREA,0,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Kinh Doanh,Hồ Chí Minh,8,20,8-20
CÔNG TY TNHH KIM KOREA,0,"Kinh doanh,Bán hàng",Nhân Viên Kinh Doanh,Hồ Chí Minh,8,20,8-20
CÔNG TY TNHH KIM KOREA,1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Chăm Sóc Khách Hàng Tiếng Hàn (YC TOPIK 5) - Lương 10-20 Triệu - Hồ Chí Minh,Hồ Chí Minh,12,20,12-20
CÔNG TY TNHH KING ASIAN,0,"BĐS,Xây dựng","Nhân Viên/TTS Kinh Doanh Bất Động Sản Nhà Phố HCM Không Yêu Cầu Kinh Nghiệm, Tự Do Thời Gian Làm Việ...",Hồ Chí Minh,40,50,40-50
CÔNG TY TNHH KING ASIAN,0,"Kinh doanh,Bán hàng","Nhân Viên/TTS Kinh Doanh Bất Động Sản Nhà Phố HCM Không Yêu Cầu Kinh Nghiệm, Tự Do Thời Gian Làm Việ...",Hồ Chí Minh,40,50,40-50
CÔNG TY TNHH KINGFISHER LOGISTICS,2 năm,,Trưởng Phòng Chứng Từ Xuất Nhập Khẩu - Operation Manager (OM),Hồ Chí Minh,0,0,0
CÔNG TY TNHH KINH DOANH TƯ VẤN ĐẦU TƯ XÂY DỰNG CENTRAL PARK,0,"BĐS,Xây dựng","Nhân Viên Kinh Doanh/ Tư Vấn/ Sales Bất Động Sản (Lương Cứng 8.5tr+ Hoa Hồng, Hỗ Trợ Khách Marketing...",Hồ Chí Minh,45,65,45-65
CÔNG TY TNHH KINH DOANH TƯ VẤN ĐẦU TƯ XÂY DỰNG CENTRAL PARK,0,"Kinh doanh,Bán hàng",Chuyên Viên Khách Hàng Doanh Nghiệp,Hồ Chí Minh,45,65,45-65
CÔNG TY TNHH KINH DOANH TƯ VẤN ĐẦU TƯ XÂY DỰNG CENTRAL PARK,0,"Kinh doanh,Bán hàng","Nhân Viên Kinh Doanh/ Tư Vấn/ Sales Bất Động Sản (Lương Cứng 8.5tr+ Hoa Hồng, Hỗ Trợ Khách Marketing...",Hồ Chí Minh,45,65,45-65
Công ty TNHH Kohnan Việt Nam,0,"Bán lẻ,Dịch vụ đời sống","Nhân Viên Bán Hàng Tại Vincom Mega Mall Ocean City, Văn Giang, Hưng Yên Và Aeon Long Biên","Hưng Yên, Hà Nội",5,7,5-7
Công ty TNHH Kohnan Việt Nam,0,"Kinh doanh,Bán hàng","Nhân Viên Bán Hàng Tại Vincom Mega Mall Ocean City, Văn Giang, Hưng Yên Và Aeon Long Biên","Hưng Yên, Hà Nội",5,7,5-7
CÔNG TY TNHH KOIKEYA VIỆT NAM,1 năm,"Bán lẻ,Dịch vụ đời sống","Marketing Executive (Strong Design And Ecom) - Distric 1, HCMC",Hồ Chí Minh,0,0,0
CÔNG TY TNHH KOIKEYA VIỆT NAM,1 năm,"Marketing,PR,QC","Marketing Executive (Strong Design And Ecom) - Distric 1, HCMC",Hồ Chí Minh,0,0,0
CÔNG TY TNHH KP AEROSPACE VIETNAM,2 năm,Biên phiên dịch,Nhân Viên Phiên Dịch Tiếng Hàn,Đà Nẵng,0,0,0
CÔNG TY TNHH KUM KANG LABELS VINA,3 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Tổng Hợp - Kế Toán Trưởng,Bình Dương,0,0,0
CÔNG TY TNHH KỸ NGHỆ VIỆT NAM,0,"Điện,Điện tử viễn thông",Nhân Viên Kỹ Thuật - Thu Nhập Đến 12 Triệu (Hồ Chí Minh - Bình Thạnh),Hồ Chí Minh,9,12,9-12
Công ty TNHH kỹ thuật điện Đức Anh HD,0,Biên phiên dịch,Nhân Viên Phiên Dịch Tiếng Trung,Bắc Giang,12,15,12-15
CÔNG TY TNHH LA BEAUTÉ,0-1 năm,Công nghệ thông tin,Nhân Viên Thiết Kế Đồ Họa - Graphic & Video Designer,Hồ Chí Minh,0,0,0
CÔNG TY TNHH LA BEAUTÉ,0-1 năm,"Marketing,PR,QC",Nhân Viên Thiết Kế Đồ Họa - Graphic & Video Designer,Hồ Chí Minh,0,0,0
CÔNG TY TNHH LẠC BỬU,2 năm,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Tư Vấn Chăm Sóc Khách Hàng Tại Văn Phòng,Hồ Chí Minh,9,11,9-11
CÔNG TY TNHH LẠC BỬU,2 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Tư Vấn Chăm Sóc Khách Hàng Tại Văn Phòng,Hồ Chí Minh,9,11,9-11
Công ty TNHH Lavender Sài Gòn,1 năm,"Kế toán,Kiểm toán,Thuế",Kế Toán Kho _ Lương 10 - 11tr _ 1 Năm Kinh Nghiệm,Hồ Chí Minh,10,11,10-11
CÔNG TY TNHH LEVERAGES CAREER VIỆT NAM,0,Biên phiên dịch,Tư Vấn Việc Làm Biết Tiếng Nhật,Hà Nội,12,0,12
Công Ty TNHH LG CNS VIỆT NAM,1 năm,Công nghệ thông tin,"Back-End Developer (C#, .NET, SQL)",Hà Nội,0,0,0
Công Ty TNHH LG CNS VIỆT NAM,1 năm,Công nghệ thông tin,"Crawling Engineer (Java, Python)",Hà Nội,0,0,0
Công Ty TNHH LG CNS VIỆT NAM,2 năm,"Kinh doanh,Bán hàng",SAP SuccessFactors Consultant,Hà Nội,0,0,0
Công Ty TNHH LG CNS VIỆT NAM,3 năm,Công nghệ thông tin,"Back End Developer (Java, MySQL, Spring) - Tại Hà Nội - Thu Nhập Hấp Dẫn",Hà Nội,0,0,0
Công Ty TNHH LG CNS VIỆT NAM,3 năm,Công nghệ thông tin,"Back-End Developer (Python, Java)",Hà Nội,0,0,0
Công Ty TNHH LG CNS VIỆT NAM,3 năm,Công nghệ thông tin,CDS Engineer,Hà Nội,0,0,0
Công Ty TNHH LG CNS VIỆT NAM,3 năm,Công nghệ thông tin,"Front - End Developer (VueJS, JavaScript, HTML)",Hà Nội,0,0,0
Công Ty TNHH LG CNS VIỆT NAM,3 năm,Công nghệ thông tin,"Full Stack Developer (Java, Springboot, React/Vue)",Hà Nội,0,0,0
CÔNG TY TNHH LIÊN DOANH XÚC TIẾN ĐẦU TƯ VÀ HỢP TÁC QUỐC TẾ FDI,2 năm,"Kế toán,Kiểm toán,Thuế",Chuyên Viên Kế Toán,Hà Nội,12,0,12
CÔNG TY TNHH LONG VĨ VIỆT NAM,0-1 năm,,"Nhân Viên Văn Phòng MD (Tiếng Anh Lưu Loát) Lương Từ 14-20 Triệu/Tháng, Đi Làm Ngay",Long An,14,20,14-20
Công ty TNHH Lotte Việt Nam,1 năm,"Bán lẻ,Dịch vụ đời sống","Nhân Viên Sales Admin (Thực Phẩm) - Hai Bà Trưng, Hà Nội",Hà Nội,8.5,9.2,8.5-9.2
