COMPANY,EXP,Industry ,JOB,Location.1,Min Salary,Max Salary,Salary.1
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,0-1 năm,"Bán lẻ,Dịch vụ đời sống",Nhân Viên Truyền Thông Báo Chí (Mảng Y Tế - Sức Khỏe),Hồ Chí Minh,0,0,0
Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,0-1 năm,"Marketing,PR,QC",Nhân Viên Truyền Thông Báo Chí (Mảng Y Tế - Sức Khỏe),Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BARUN VINA,1 năm,"Chăm sóc khách hàng,Vận hành",Nhân Viên Hỗ Trợ Vận Hành - Chăm Sóc Khách Hàng Yêu Cầu Nam (Lương Từ 8-13 Triệu),Hồ Chí Minh,8,13,8-13
Công ty Cổ phần Bất động sản A New Home,0,"BĐS,Xây dựng",Nhân Viên Kinh Doanh Bất Động Sản - LCB 8 Triệu - Hỗ Trợ Khách Hàng Marketing - Không Yêu Cầu Kinh N...,Hồ Chí Minh,80,0,80
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN CONA LAND,2 năm,Công nghệ thông tin,Chuyên Viên Seo Website - Có Kinh Nghiệm - Lương Up 20 Triệu Cộng Hoa Hồng Theo Sản Phẩm,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN GREEN HILL,0,"BĐS,Xây dựng","Nhân Viên Văn Phòng/Telesales /Tư Vấn Khánh Hàng Part-Time Lương Cao 30k/ Giờ, Hoa Hồng 10Triệu - 20...",Hồ Chí Minh,10,20,10-20
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN GREEN HILL,1 năm,"BĐS,Xây dựng","Chuyên Viên Kinh Doanh/Nhân Viên Kinh Doanh/Sale Bất Động Sản, Lương Cứng Từ 5 -10 Triệu, Hoa Hồng L...",Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN INDOCHINE,0-1 năm,"BĐS,Xây dựng","Chuyên Viên Tư Vấn BĐS Quốc Tế ( Tiếng Trung, Hàn, Anh - Hoa Hồng Hấp Dẫn , Hỗ Trợ MKT 90% )","Hà Nội, Hồ Chí Minh",80,100,80-100
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN INDOCHINE,0-1 năm,"BĐS,Xây dựng",CV Kinh Doanh Bất Động Sản - Hoa Hồng Hấp Dẫn - Hỗ Trợ MKT 90%,Hà Nội,80,100,80-100
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN PHỐ XANH HOLDINGS,0,"BĐS,Xây dựng",Nhân Viên Kinh Doanh - Lương Cứng 8 Triệu -12 Triệu - Được Đào Tạo Nghề - Không Giới Hạn Thu Nhập -...,Hà Nội,8,40,8-40
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN PHỐ XANH HOLDINGS,0,"Kinh doanh,Bán hàng",Nhân Viên Kinh Doanh - Lương Cứng 8 Triệu -12 Triệu - Được Đào Tạo Nghề - Không Giới Hạn Thu Nhập -...,Hà Nội,8,40,8-40
Công ty Cổ Phần Bất Động Sản Seaholdings,5 năm,"Bán lẻ,Dịch vụ đời sống",Giám Đốc Sales & Marketing - Bất Động Sản,Hồ Chí Minh,0,0,0
Công ty Cổ Phần Bất Động Sản Seaholdings,5 năm,"Marketing,PR,QC",Giám Đốc Sales & Marketing - Bất Động Sản,Hồ Chí Minh,0,0,0
CÔNG TY CỔ PHẦN BẤT ĐỘNG SẢN THIÊN KHÔI,0,"BĐS,Xây dựng",Nhân Viên Kinh Doanh/Sales Bất Động Sản/ Nhân Viên Tư Vấn BĐS - Thu Nhập Trên 50 Triệu (Tự Do Thời G...,Hồ Chí Minh,50,100,50-100
